MongoDB shell version: 2.4.5
connecting to: localhost:27017/futura
dcohen	gatech	1	4	55	13	0	0	0	1	1	0	4.0
ayushjag	usc	0	2	31	5	1	2	1	0	1	4	undefined
jaf287	cornell	0	0	0	0	0	0	0	0	0	0	undefined
jm2232	cornell	1	3	58	6	2	5	6	2	2	5	undefined
chordas	usc	1	1	26	4	1	3	2	0	11	3	3.15
teresali	cornell	0	4	0	0	1	14	0	1	3	4	3.51
shiroor	usc	1	3	87	17	1	7	0	0	0	6	3.6
anush_yadav_bommanipalli	usc	0	0	0	0	0	0	0	0	0	0	3.7
spagarwa	usc	0	0	0	0	0	0	0	0	0	0	undefined
pjhaveri	usc	1	0	0	0	0	0	0	0	0	2	3.75
gumidell	usc	0	0	0	0	0	0	0	0	0	0	undefined
eric-bencomodixon	usc	0	0	0	0	0	0	0	0	0	0	undefined
sassadia	usc	0	0	0	0	0	0	0	0	0	0	3.54
sakumoto	usc	0	0	0	0	0	0	0	0	0	0	2.5
ah	usc	0	0	0	0	0	0	0	0	0	0	undefined
shivangb	usc	1	1	15	2	1	11	1	2	6	5	3.68
jamesrwo	usc	1	1	23	6	1	12	10	2	1	4	3.4
bhanoori	usc	0	1	12	8	2	7	9	0	3	6	4.0
kaulgud	usc	0	0	0	0	0	0	0	0	0	0	undefined
adityamayya	usc	0	0	0	0	0	0	0	0	0	0	undefined
bhobe	usc	0	0	0	0	0	0	0	0	0	0	3.66
dshin9	illinois	1	0	0	0	0	0	0	0	0	8	3.35
anilmamillapalli	usc	1	0	0	0	2	NaN	0	0	5	2	3.3
atomar	usc	1	0	0	0	3	10	7	1	3	4	4.0
r-mazumdar	usc	0	1	2	0	0	0	0	0	0	5	undefined
javali	usc	0	0	0	0	0	0	0	0	0	0	undefined
srfahmy	northwestern	0	0	0	0	0	0	0	0	0	0	3.81
derekmong	duke	0	0	0	0	0	0	0	0	0	0	3.792
gdm284	nyu	1	3	30	9	3	18	9	0	1	4	3.55
sukritij	usc	0	0	0	0	0	0	0	0	0	0	undefined
nofeliyan	usc	0	0	0	0	0	0	0	0	0	0	undefined
avp33	cornell	0	0	0	0	0	0	0	0	0	0	undefined
viders	usc	0	0	0	0	0	0	0	0	0	0	undefined
vadityaraju	nyu	0	0	0	0	0	0	0	0	0	0	undefined
ericyu	cornell	0	0	0	0	0	0	0	0	0	0	undefined
ediga	usc	0	0	0	0	0	0	0	0	0	0	3.5
djh325	cornell	0	0	0	0	0	0	0	0	0	0	4.01
sanchit	berkeley	0	0	0	0	0	0	0	0	0	0	null
natelee90	berkeley	0	0	0	0	0	0	0	0	0	0	undefined
